seq,name,R_deconv_pc,R_obs_pc,M_core_msun,M_core_err_msun,T_dust_K,T_dust_err_K,N_H2_peak_cm2,N_H2_av_cm2,N_H2_avd_cm2,n_H2_peak_cm3,n_H2_av_cm3,n_H2_avd_cm3,alpha_BE,core_type,no_sed_fit,tentative_bound,co_high_vlsr
675,183258.5-025546,0.017,0.029,0.29,0.12,9.8,0.9,6.1e+21,4e+21,1.12e+22,37000,30000,141000,1.2,prestellar,0,0,0
676,183301.4-024658,0.054,0.059,2,0.53,10.1,0.6,1.98e+22,6.8e+21,8.3e+21,85000,25000,34000,0.5,prestellar,0,0,0
677,183302.2-012618,0.035,0.046,0.13,0.07,11.5,4.5,1.5e+21,8e+20,1.3e+21,7000,4000,8000,5.1,starless,1,0,0
678,183302.7-023005,0.024,0.033,0.1,0.05,11.5,4.5,1.5e+21,1.1e+21,2e+21,9000,7000,19000,4.8,starless,1,0,0
679,183303.4-025106,0.022,0.033,2.08,0.5,7.8,0.4,2.85e+22,2.3e+22,5.01e+22,168000,154000,496000,0.2,prestellar,0,0,0
680,183305.8-025200,0.025,0.037,1.48,0.67,7.1,0.6,1.52e+22,1.25e+22,2.7e+22,85000,73000,233000,0.3,prestellar,0,0,0
681,183306.8-024416,0.031,0.039,0.42,0.05,13,0.4,1.02e+22,3.3e+21,5.3e+21,56000,19000,38000,1.4,protostellar,0,0,0
682,183309.1-023325,0.036,0.044,0.09,0.02,14.3,0.9,1.6e+21,5e+20,8e+20,8000,3000,5000,8.2,starless,0,0,0
683,183309.8-024604,0.049,0.055,0.95,0.26,10.1,0.7,1.19e+22,3.8e+21,4.6e+21,54000,15000,21000,1,prestellar,0,0,0
684,183310.5-023513,0.015,0.026,0.06,0.03,11.5,4.5,9e+20,1e+21,2.9e+21,6000,8000,43000,5.3,starless,1,0,0
685,183312.4-024418,0.043,0.054,0.31,0.15,10.8,1.2,4.2e+21,1.3e+21,2e+21,19000,5000,10000,2.8,prestellar,0,1,0
686,183314.1-023545,0.031,0.039,0.23,0.14,9.7,1.1,3.8e+21,1.8e+21,2.9e+21,20000,10000,21000,2.6,prestellar,0,1,0
687,183314.3-024944,0.019,0.032,0.18,0.13,10,1.5,3.6e+21,2.2e+21,5.8e+21,22000,15000,67000,2.1,prestellar,0,1,0
688,183314.9-024809,0.031,0.04,0.83,0.45,7.7,0.8,9.1e+21,6.1e+21,1.04e+22,49000,33000,74000,0.7,prestellar,0,0,0
689,183316.5-025956,0.029,0.038,0.06,0.04,14.7,3.3,1.6e+21,5e+20,9e+20,9000,3000,6000,9.1,starless,0,0,0
690,183317.8-024903,0.039,0.046,0.15,0.09,13.2,2.3,3.3e+21,8e+20,1.2e+21,17000,4000,7000,5.2,starless,0,0,0
691,183322.2-024238,0.057,0.063,1.13,0.42,8.8,0.8,1.37e+22,3.4e+21,4.2e+21,56000,12000,16000,1,prestellar,0,0,0
692,183329.2-024224,0.034,0.043,0.58,0.19,10,0.8,8.3e+21,3.7e+21,6e+21,43000,19000,39000,1.2,prestellar,0,0,0
693,183329.6-024556,0.023,0.033,0.2,0.1,11.5,4.5,5.2e+21,2.2e+21,4.5e+21,30000,15000,42000,2.3,protostellar,1,0,0
694,183332.4-024637,0.031,0.039,0.64,0.34,7.8,0.8,9.9e+21,5e+21,8.1e+21,54000,28000,58000,0.9,prestellar,0,0,0
695,183340.4-030320,0.032,0.042,0.07,0.04,13.7,2.7,1.3e+21,4e+20,8e+20,7000,2000,5000,9.4,starless,0,0,0
696,183353.6-030437,0.031,0.04,0.24,0.15,10,1.6,4.6e+21,1.8e+21,3.1e+21,25000,10000,22000,2.5,prestellar,0,1,0
697,183354.1-034246,0.021,0.033,0.08,0.04,11.5,4.5,9e+20,9e+20,2.1e+21,5000,6000,21000,5.3,starless,1,0,0
698,183354.3-030534,0.017,0.03,0.2,0.1,10.8,1.3,4.3e+21,2.7e+21,7.9e+21,26000,20000,100000,1.7,prestellar,0,0,0
699,183359.8-030614,0.021,0.033,0.13,0.08,11.6,1.8,3.2e+21,1.4e+21,3.4e+21,19000,9000,35000,3.3,prestellar,0,1,0
700,183404.3-030759,0.032,0.04,0.25,0.08,13.4,1.2,4.6e+21,1.8e+21,2.9e+21,25000,10000,20000,2.6,prestellar,0,1,0
701,183408.1-014203,0.023,0.033,0.12,0.06,12.2,1.4,3.6e+21,1.3e+21,2.7e+21,22000,9000,26000,3.8,prestellar,0,1,0
702,183411.1-014158,0.024,0.035,0.26,0.12,10.2,0.9,5.4e+21,2.5e+21,5.5e+21,31000,16000,51000,1.8,prestellar,0,0,0
703,183414.8-014158,0.043,0.049,0.46,0.13,11.5,0.9,6.8e+21,2.2e+21,2.9e+21,33000,10000,15000,1.9,prestellar,0,0,0
704,183416.7-021619,0.026,0.039,0.06,0.02,15.1,1.2,1e+21,4e+20,1e+21,5000,2000,9000,8.8,starless,0,0,0
705,183426.9-014240,0.033,0.047,0.68,0.19,11.6,0.9,7e+21,3.6e+21,7.5e+21,34000,16000,51000,1,prestellar,0,0,0
706,183428.5-014437,0.019,0.031,0.16,0.1,11.1,1.6,3.4e+21,2e+21,5e+21,20000,14000,57000,2.4,prestellar,0,1,0
707,183432.3-021731,0.017,0.029,0.04,0.02,11.5,4.5,6e+20,6e+20,1.7e+21,4000,5000,22000,7.9,starless,1,0,0
708,183442.2-022052,0.031,0.039,0.04,0.03,15.2,3.4,1.4e+21,3e+20,5e+20,7000,2000,4000,15.6,starless,0,0,0
709,183507.6-030959,0.046,0.053,0.28,0.08,13.7,1.2,4.9e+21,1.2e+21,1.6e+21,22000,5000,7000,3.3,prestellar,0,1,1
710,183509.2-031240,0.024,0.034,0.07,0.03,11.5,4.5,8e+20,7e+20,1.4e+21,5000,5000,12000,7.1,starless,1,0,1
711,183520.4-032055,0.026,0.039,0.39,0.16,9.2,0.8,5.4e+21,3.1e+21,6.8e+21,29000,17000,57000,1.3,prestellar,0,0,0
712,183524.8-030228,0.028,0.037,0.1,0.02,15,1.1,1.7e+21,8e+20,1.4e+21,9000,5000,11000,5.8,starless,0,0,1
713,183540.2-024457,0.031,0.041,0.13,0.06,11.5,4.5,1.3e+21,9e+20,1.6e+21,7000,5000,11000,4.8,starless,1,0,1
714,183540.9-024616,0.016,0.028,0.07,0.03,12.9,1.2,1.1e+21,1e+21,3e+21,7000,8000,40000,4.9,starless,0,0,1
715,183555.4-023134,0.02,0.031,0.22,0.09,10.1,0.9,4.7e+21,2.8e+21,6.5e+21,29000,20000,71000,1.8,prestellar,0,0,1
716,183612.3-021920,0.021,0.032,0.11,0.05,10.9,1.5,2.1e+21,1.3e+21,3.1e+21,12000,9000,33000,3.6,prestellar,0,1,1
717,183618.3-021922,0.035,0.043,0.36,0.22,9.6,1.3,5.7e+21,2.3e+21,3.4e+21,30000,12000,21000,2,prestellar,0,0,1
718,183618.4-020358,0.031,0.04,0.15,0.05,11.9,0.8,2.3e+21,1.2e+21,1.9e+21,12000,6000,14000,4,prestellar,0,1,1
719,183621.9-022231,0.036,0.043,0.2,0.14,12.9,2.4,4.4e+21,1.3e+21,1.8e+21,23000,6000,11000,3.5,prestellar,0,1,1
720,183623.0-022202,0.02,0.031,0.45,0.46,8.4,1.5,6.6e+21,5.6e+21,1.3e+22,40000,40000,140000,0.9,prestellar,0,0,1
721,183625.1-023220,0.02,0.031,0.1,0.05,11.5,4.5,1.2e+21,1.2e+21,2.7e+21,7000,8000,30000,4.2,prestellar,1,1,1
722,183627.9-023955,0.03,0.039,0.44,0.13,11.3,0.6,7.4e+21,3.5e+21,5.9e+21,41000,20000,44000,1.3,prestellar,0,0,1
723,183627.9-021957,0.013,0.025,0.24,0.29,8.8,2,4.1e+21,4.3e+21,1.72e+22,27000,37000,296000,1.1,prestellar,0,0,1
724,183628.8-023253,0.028,0.037,0.15,0.08,11.5,4.5,1.6e+21,1.3e+21,2.3e+21,9000,8000,19000,3.6,prestellar,1,1,1
725,183629.6-022159,0.023,0.033,0.65,0.1,12.2,1,1.07e+22,7e+21,1.5e+22,63000,46000,144000,0.7,protostellar,0,0,1
726,183629.9-023129,0.018,0.029,2.34,1.02,6.7,0.5,1.95e+22,3.37e+22,8.73e+22,121000,257000,1.072e+06,0.2,prestellar,0,0,1
727,183629.9-024723,0.019,0.031,0.43,0.22,11.5,4.5,8.3e+21,5.4e+21,1.47e+22,50000,38000,173000,0.9,protostellar,1,0,1
728,183631.3-022148,0.039,0.045,1.62,0.4,9.9,0.5,2.16e+22,9.5e+21,1.3e+22,109000,46000,74000,0.5,prestellar,0,0,1
729,183634.1-023210,0.021,0.033,2.65,0.49,8.5,0.3,4.21e+22,2.95e+22,7.5e+22,249000,198000,802000,0.2,prestellar,0,0,1
730,183634.3-023106,0.02,0.03,0.81,0.36,8.9,0.7,1.4e+22,1.03e+22,2.45e+22,85000,74000,271000,0.5,prestellar,0,0,1
731,183635.7-022639,0.015,0.026,0.06,0.03,11.5,4.5,9e+20,1e+21,3.3e+21,6000,9000,49000,4.9,starless,1,0,1
732,183636.1-022144,0.016,0.027,0.82,0.15,17.2,1.6,2.62e+22,1.34e+22,3.91e+22,166000,109000,545000,0.4,protostellar,0,0,1
733,183636.8-023333,0.019,0.03,0.37,0.18,11.5,4.5,1.19e+22,4.8e+21,1.22e+22,73000,35000,142000,1,protostellar,1,0,1
734,183638.6-022344,0.011,0.023,0.85,0.24,9.3,0.5,1.62e+22,1.91e+22,7.65e+22,107000,183000,1.461e+06,0.3,protostellar,0,0,1
735,183640.1-022653,0.017,0.029,0.07,0.04,11.5,4.5,9e+20,1e+21,2.9e+21,6000,8000,37000,4.7,starless,1,0,1
736,183640.3-023402,0.019,0.03,1.17,0.33,14.1,3.1,1.75e+22,1.56e+22,3.85e+22,107000,114000,445000,0.3,protostellar,0,0,1
737,183641.5-022048,0.026,0.038,0.09,0.05,11.5,4.5,1.1e+21,7e+20,1.6e+21,6000,4000,13000,5.7,starless,1,0,1
738,183641.7-023455,0.014,0.026,0.27,0.06,11.3,0.6,6.8e+21,5e+21,1.68e+22,44000,43000,265000,1,prestellar,0,0,1
739,183644.6-020125,0.02,0.031,0.09,0.02,14.4,0.8,1.6e+21,1.1e+21,2.7e+21,9000,8000,29000,4.4,prestellar,0,1,1
740,183645.9-022536,0.016,0.028,0.03,0.03,14.3,1.7,1e+21,5e+20,1.5e+21,6000,4000,21000,9.9,starless,0,0,1
741,183646.7-022608,0.036,0.043,0.4,0.33,11.1,2.2,4.5e+21,2.5e+21,3.6e+21,23000,13000,22000,1.8,prestellar,0,0,1
742,183647.1-021715,0.028,0.039,0.08,0.04,11.5,4.5,9e+20,6e+20,1.1e+21,5000,3000,9000,7.4,starless,1,0,1
743,183647.8-020145,0.02,0.031,0.03,0.01,14.5,4.5,9e+20,3e+20,8e+20,6000,2000,9000,14.6,starless,1,0,1
744,183650.2-021455,0.024,0.033,0.35,0.07,11.2,0.4,5.9e+21,3.7e+21,7.1e+21,35000,24000,65000,1.4,prestellar,0,0,1
745,183652.5-021914,0.034,0.042,0.17,0.04,13.5,0.7,2.9e+21,1.2e+21,1.8e+21,15000,6000,11000,3.9,prestellar,0,1,1
746,183652.7-021215,0.046,0.052,0.2,0.05,14.2,0.9,2.7e+21,9e+20,1.1e+21,13000,4000,5000,4.5,starless,0,0,1
747,183652.9-021440,0.021,0.031,0.2,0.11,10.6,1.4,6.4e+21,2.5e+21,5.6e+21,39000,17000,60000,2,prestellar,0,1,1
748,183654.2-021242,0.02,0.031,0.22,0.11,11.1,1.4,4.1e+21,2.8e+21,6.6e+21,25000,20000,72000,1.8,prestellar,0,0,1
749,183703.2-021240,0.02,0.032,0.1,0.02,12.8,0.7,1.7e+21,1.1e+21,2.7e+21,10000,8000,29000,4.2,prestellar,0,1,1
